"loan_status","loan_amnt","grade","home_ownership","annual_inc","emp_length","int_rate","age","emp_cat","ir_cat"
0,5000,"B","RENT",24000,10,10.65,33,"0-15","8-11"
0,2400,"C","RENT",12252,25,NA,31,"15-30","Missing"
0,10000,"C","RENT",49200,13,13.49,24,"0-15","11-13.5"
0,5000,"A","RENT",36000,3,NA,39,"0-15","Missing"
0,3000,"E","RENT",48000,9,NA,24,"0-15","Missing"
0,12000,"B","OWN",75000,11,12.69,28,"0-15","11-13.5"
1,9000,"C","RENT",30000,0,13.49,22,"0-15","11-13.5"
0,3000,"B","RENT",15000,3,9.91,22,"0-15","8-11"
1,10000,"B","RENT",1e+05,3,10.65,28,"0-15","8-11"
0,1000,"D","RENT",28000,0,16.29,22,"0-15","13.5+"
0,10000,"C","RENT",42000,4,NA,23,"0-15","Missing"
0,3600,"A","MORTGAGE",110000,13,6.03,27,"0-15","0-8"
0,6000,"B","MORTGAGE",84000,1,NA,30,"0-15","Missing"
0,9200,"A","RENT",77385.19,6,6.03,24,"0-15","0-8"
1,21000,"B","RENT",105000,17,12.42,29,"15-30","11-13.5"
0,10000,"B","OWN",50000,13,11.71,23,"0-15","11-13.5"
0,10000,"B","RENT",50000,5,11.71,22,"0-15","11-13.5"
1,6000,"B","RENT",76000,1,11.71,31,"0-15","11-13.5"
0,15000,"B","MORTGAGE",92000,2,9.91,23,"0-15","8-11"
1,15000,"C","RENT",60000,9,14.27,30,"0-15","13.5+"
0,4000,"B","MORTGAGE",106000,19,11.71,27,"15-30","11-13.5"
0,8500,"B","RENT",25000,0,11.71,24,"0-15","11-13.5"
0,4375,"A","MORTGAGE",17108,7,7.51,38,"0-15","0-8"
0,31825,"A","MORTGAGE",75000,5,7.9,23,"0-15","0-8"
0,5000,"A","RENT",24044,2,8.9,22,"0-15","8-11"
0,7000,"C","RENT",34000,7,15.96,27,"0-15","13.5+"
0,12400,"B","RENT",41000,18,10.65,36,"15-30","8-11"
0,10800,"B","RENT",55596,2,9.91,35,"0-15","8-11"
0,15000,"A","RENT",45000,1,7.9,23,"0-15","0-8"
0,6000,"B","RENT",36852,1,12.42,25,"0-15","11-13.5"
0,9600,"A","RENT",68004,4,7.51,22,"0-15","0-8"
0,12000,"A","RENT",62300,15,7.9,25,"0-15","0-8"
0,3000,"D","MORTGAGE",65000,9,18.25,26,"0-15","13.5+"
0,4400,"D","RENT",55000,17,16.77,24,"15-30","13.5+"
0,6000,"A","MORTGAGE",45600,17,6.03,21,"15-30","0-8"
0,14000,"B","RENT",80000,6,NA,26,"0-15","Missing"
1,5000,"A","MORTGAGE",1e+05,17,8.9,27,"15-30","8-11"
0,10000,"B","RENT",27000,6,10.65,23,"0-15","8-11"
0,10000,"A","RENT",60000,11,NA,37,"0-15","Missing"
0,11000,"A","RENT",70000,5,6.62,26,"0-15","0-8"
1,15000,"B","MORTGAGE",80000,8,9.91,26,"0-15","8-11"
0,25600,"B","RENT",110000,9,NA,29,"0-15","Missing"
0,7000,"B","RENT",40000,0,10.65,22,"0-15","8-11"
1,12000,"C","RENT",50000,4,15.96,29,"0-15","13.5+"
0,12000,"B","RENT",46000,1,9.91,38,"0-15","8-11"
0,10000,"B","OWN",39000,0,12.42,33,"0-15","11-13.5"
0,10000,"B","RENT",51400,2,10.65,23,"0-15","8-11"
0,7100,"D","MORTGAGE",33000,1,16.77,29,"0-15","13.5+"
0,8000,"D","RENT",62000,0,NA,29,"0-15","Missing"
0,3500,"B","MORTGAGE",55000,7,10.65,33,"0-15","8-11"
0,16425,"C","RENT",44544,4,14.27,27,"0-15","13.5+"
0,15000,"C","OWN",61000,2,14.65,25,"0-15","13.5+"
1,6400,"D","RENT",75000,5,16.77,35,"0-15","13.5+"
0,3000,"C","RENT",33600,1,13.49,27,"0-15","11-13.5"
0,12000,"D","RENT",50000,3,16.77,25,"0-15","13.5+"
0,14400,"A","OWN",150000,0,8.9,25,"0-15","8-11"
0,12000,"C","RENT",90000,18,14.65,28,"15-30","13.5+"
0,11000,"C","MORTGAGE",48000,23,13.49,26,"15-30","11-13.5"
0,15000,"A","MORTGAGE",52000,1,NA,37,"0-15","Missing"
0,10000,"C","RENT",68000,2,14.27,29,"0-15","13.5+"
0,11800,"B","RENT",42000,6,12.69,23,"0-15","11-13.5"
0,4500,"A","RENT",53000,4,6.03,40,"0-15","0-8"
0,7000,"B","RENT",35000,12,12.69,24,"0-15","11-13.5"
0,9200,"B","RENT",60000,2,12.42,27,"0-15","11-13.5"
0,12000,"D","RENT",88365,9,16.29,28,"0-15","13.5+"
0,12000,"C","RENT",72000,4,13.49,28,"0-15","11-13.5"
0,12000,"B","RENT",62000,0,10.65,28,"0-15","8-11"
0,7000,"B","MORTGAGE",43680,3,10.65,27,"0-15","8-11"
0,10500,"B","RENT",66000,11,12.69,31,"0-15","11-13.5"
0,7000,"B","OWN",39120,4,11.71,23,"0-15","11-13.5"
0,3500,"A","MORTGAGE",83000,11,6.03,27,"0-15","0-8"
1,6200,"B","RENT",25000,2,9.91,36,"0-15","8-11"
0,6000,"A","OWN",28800,8,8.9,26,"0-15","8-11"
0,7200,"B","RENT",135000,6,9.91,25,"0-15","8-11"
0,9500,"A","MORTGAGE",50000,7,8.9,27,"0-15","8-11"
0,24000,"B","RENT",45000,15,10.65,40,"0-15","8-11"
0,6000,"C","RENT",80000,30,NA,32,"15-30","Missing"
0,6000,"C","RENT",50000,5,13.49,29,"0-15","11-13.5"
0,2100,"B","MORTGAGE",30000,21,12.42,48,"15-30","11-13.5"
0,5500,"A","MORTGAGE",110000,8,6.62,25,"0-15","0-8"
0,11000,"A","OWN",45608,8,6.62,26,"0-15","0-8"
0,8000,"B","MORTGAGE",35000,5,12.69,35,"0-15","11-13.5"
1,10000,"D","RENT",75000,1,18.25,24,"0-15","13.5+"
0,8000,"B","MORTGAGE",35000,9,11.71,24,"0-15","11-13.5"
0,10000,"A","RENT",24000,6,8.9,33,"0-15","8-11"
0,12000,"B","MORTGAGE",126000,2,11.71,28,"0-15","11-13.5"
0,10000,"A","RENT",43000,1,7.9,37,"0-15","0-8"
0,12000,"B","RENT",50000,1,NA,26,"0-15","Missing"
1,19750,"B","RENT",45000,4,10.65,42,"0-15","8-11"
0,10000,"B","RENT",31200,3,9.91,25,"0-15","8-11"
0,13650,"B","RENT",66000,4,12.42,45,"0-15","11-13.5"
0,18000,"A","RENT",56964,12,NA,29,"0-15","Missing"
0,2500,"C","RENT",49500,7,14.27,22,"0-15","13.5+"
0,35000,"A","MORTGAGE",125000,6,8.9,23,"0-15","8-11"
0,10000,"A","RENT",33000,3,7.51,25,"0-15","0-8"
0,7000,"B","RENT",30000,0,12.69,23,"0-15","11-13.5"
1,24000,"C","MORTGAGE",90000,8,15.96,24,"0-15","13.5+"
0,10625,"A","MORTGAGE",23000,5,7.51,22,"0-15","0-8"
0,5000,"C","RENT",24000,2,14.65,37,"0-15","13.5+"
0,8850,"A","RENT",62000,17,6.62,24,"15-30","0-8"
0,6375,"A","RENT",44000,4,NA,25,"0-15","Missing"
0,6000,"B","RENT",90000,1,11.71,27,"0-15","11-13.5"
1,11100,"A","RENT",41000,30,6.62,38,"15-30","0-8"
0,6200,"A","MORTGAGE",26500,5,6.03,44,"0-15","0-8"
0,15000,"E","RENT",54000,1,18.64,26,"0-15","13.5+"
0,4200,"B","RENT",53000,2,11.71,35,"0-15","11-13.5"
0,14000,"C","RENT",52800,4,14.27,23,"0-15","13.5+"
0,8875,"A","MORTGAGE",38000,1,7.51,26,"0-15","0-8"
0,13500,"B","RENT",38000,7,9.91,21,"0-15","8-11"
1,12000,"B","RENT",42000,2,9.91,24,"0-15","8-11"
0,6000,"B","MORTGAGE",87000,6,10.65,24,"0-15","8-11"
1,10000,"B","RENT",60000,8,11.71,46,"0-15","11-13.5"
0,12000,"D","MORTGAGE",80000,5,16.29,26,"0-15","13.5+"
0,7200,"B","RENT",48000,5,12.42,22,"0-15","11-13.5"
1,5600,"C","MORTGAGE",85000,1,14.65,24,"0-15","13.5+"
0,12000,"C","RENT",57000,0,NA,23,"0-15","Missing"
0,8500,"A","RENT",25000,2,6.03,23,"0-15","0-8"
0,8000,"B","RENT",34000,2,9.91,22,"0-15","8-11"
0,8000,"B","RENT",40000,14,12.42,25,"0-15","11-13.5"
0,15000,"D","MORTGAGE",44400,2,17.27,23,"0-15","13.5+"
0,10000,"B","OWN",30000,2,9.91,32,"0-15","8-11"
0,10000,"A","MORTGAGE",70000,5,6.62,23,"0-15","0-8"
0,8000,"C","RENT",28000,3,14.65,25,"0-15","13.5+"
0,22000,"B","MORTGAGE",50000,2,9.91,22,"0-15","8-11"
0,6000,"C","MORTGAGE",94800,14,14.27,23,"0-15","13.5+"
1,2500,"A","OWN",12000,NA,7.51,21,"Missing","0-8"
0,13500,"B","MORTGAGE",36000,2,9.91,30,"0-15","8-11"
0,25000,"B","RENT",225000,2,12.42,30,"0-15","11-13.5"
0,10000,"C","RENT",45900,2,NA,65,"0-15","Missing"
0,2500,"C","RENT",27200,4,13.49,26,"0-15","11-13.5"
0,7325,"B","RENT",42000,1,12.69,23,"0-15","11-13.5"
0,4000,"B","RENT",135000,5,12.42,28,"0-15","11-13.5"
1,10000,"C","RENT",65000,5,13.49,35,"0-15","11-13.5"
1,7750,"D","RENT",24000,0,17.27,24,"0-15","13.5+"
0,9600,"B","RENT",65000,11,12.42,30,"0-15","11-13.5"
0,14000,"B","RENT",30000,3,10.65,21,"0-15","8-11"
0,13350,"B","RENT",43000,19,12.42,31,"15-30","11-13.5"
1,15000,"D","RENT",42000,17,16.77,27,"15-30","13.5+"
1,15000,"D","RENT",75000,8,NA,50,"0-15","Missing"
0,35000,"B","MORTGAGE",168000,2,10.65,25,"0-15","8-11"
0,9000,"B","MORTGAGE",74000,9,NA,22,"0-15","Missing"
1,16000,"B","RENT",58500,1,12.69,22,"0-15","11-13.5"
0,13500,"B","RENT",71000,5,12.69,26,"0-15","11-13.5"
0,24000,"B","RENT",75000,13,12.69,22,"0-15","11-13.5"
0,12000,"B","RENT",60000,5,10.65,26,"0-15","8-11"
0,14000,"A","RENT",66000,31,6.62,26,"30-45","0-8"
1,12000,"C","MORTGAGE",70000,8,NA,33,"0-15","Missing"
0,25000,"B","MORTGAGE",1e+05,12,11.71,23,"0-15","11-13.5"
0,9000,"B","RENT",50000,5,12.69,25,"0-15","11-13.5"
0,13250,"B","RENT",35000,4,10.65,28,"0-15","8-11"
0,20000,"C","RENT",75000,6,13.49,28,"0-15","11-13.5"
0,3000,"C","RENT",71000,5,14.65,22,"0-15","13.5+"
0,7350,"B","MORTGAGE",48000,16,10.65,21,"15-30","8-11"
0,11500,"C","RENT",36000,5,15.27,30,"0-15","13.5+"
1,13650,"B","MORTGAGE",86000,16,12.42,32,"15-30","11-13.5"
1,10500,"D","RENT",30000,3,16.29,25,"0-15","13.5+"
0,12000,"B","RENT",60000,2,9.91,28,"0-15","8-11"
0,6000,"A","RENT",34000,3,8.9,27,"0-15","8-11"
0,11500,"C","MORTGAGE",44200,25,15.27,27,"15-30","13.5+"
0,7000,"B","MORTGAGE",82000,7,12.42,26,"0-15","11-13.5"
0,2000,"C","RENT",41000,2,15.27,27,"0-15","13.5+"
0,11625,"C","MORTGAGE",36000,0,13.49,22,"0-15","11-13.5"
1,15075,"C","RENT",35000,14,NA,31,"0-15","Missing"
0,5300,"C","RENT",30000,1,15.27,25,"0-15","13.5+"
0,8200,"A","RENT",40000,0,6.62,26,"0-15","0-8"
0,12000,"B","MORTGAGE",105000,9,NA,25,"0-15","Missing"
0,8650,"C","MORTGAGE",45000,4,14.27,23,"0-15","13.5+"
0,12000,"B","RENT",83000,2,12.42,31,"0-15","11-13.5"
1,9500,"B","MORTGAGE",52500,0,12.69,22,"0-15","11-13.5"
0,7400,"C","OWN",25000,0,NA,26,"0-15","Missing"
0,14400,"C","MORTGAGE",60000,19,13.49,28,"15-30","11-13.5"
1,7200,"A","RENT",68000,3,7.9,23,"0-15","0-8"
0,4000,"A","RENT",65000,0,7.51,24,"0-15","0-8"
0,1500,"D","MORTGAGE",144000,11,17.27,24,"0-15","13.5+"
0,19600,"B","RENT",75000,2,12.42,22,"0-15","11-13.5"
0,2500,"B","MORTGAGE",29000,7,11.71,54,"0-15","11-13.5"
1,10000,"B","RENT",70000,2,12.69,22,"0-15","11-13.5"
0,10000,"A","RENT",45000,5,6.62,21,"0-15","0-8"
0,4225,"B","MORTGAGE",55200,5,12.42,25,"0-15","11-13.5"
0,3500,"A","MORTGAGE",61440,7,7.9,35,"0-15","0-8"
0,12000,"A","MORTGAGE",56000,27,NA,24,"15-30","Missing"
0,16500,"A","RENT",47000,0,NA,26,"0-15","Missing"
0,12000,"C","RENT",71000,1,NA,29,"0-15","Missing"
0,10800,"B","RENT",135000,8,NA,28,"0-15","Missing"
0,14000,"B","MORTGAGE",63000,12,12.42,25,"0-15","11-13.5"
0,6000,"C","MORTGAGE",50000,5,13.49,35,"0-15","11-13.5"
0,12000,"B","RENT",80000,5,9.91,24,"0-15","8-11"
0,10000,"B","RENT",45000,4,12.42,29,"0-15","11-13.5"
0,8000,"A","RENT",78000,2,7.9,31,"0-15","0-8"
0,14125,"B","RENT",33000,1,9.91,25,"0-15","8-11"
0,14000,"B","RENT",62800,5,12.69,24,"0-15","11-13.5"
0,4000,"E","MORTGAGE",80000,19,19.03,25,"15-30","13.5+"
