"Index" "MMM" "AXP" "AAPL" "BA" "CAT" "CVX" "CSCO" "KO" "DIS" "DD" "XOM" "GE" "HD" "IBM" "INTC" "JNJ" "JPM" "MCD" "MRK" "MSFT" "NKE" "PFE" "PG" "TRV" "UTX" "UNH" "VZ" "WMT"
1990-12-31 10.496618 3.396991 1.323066 13.448967 3.169411 7.213496 0.132204 3.327468 6.333231 7.552207 6.075786 2.302807 2.011298 17.779217 0.821688 4.998879 1.617607 4.480409 6.321284 0.709652 1.024263 1.629612 5.851236 7.552191 3.406484 0.647851 7.588707 5.34093
1991-01-31 10.38951 3.746984 1.707678 14.63455 3.376939 7.089339 0.172343 3.488474 6.76468 7.449456 6.061111 2.568709 2.252133 19.942617 0.976421 5.329815 1.974987 4.384263 6.435577 0.925376 1.215119 1.813764 5.38664 7.672544 3.379798 0.766276 6.942022 5.826469
1991-02-28 10.926645 3.952862 1.765236 14.36986 3.707845 7.558052 0.164978 3.747874 7.709861 7.820798 6.557764 2.749465 2.538531 20.452346 1.019106 5.746172 2.482841 4.864994 7.182878 0.978423 1.221481 2.13275 5.522581 7.973429 3.573394 0.83942 7.01359 6.245798
1991-03-28 10.926645 4.755787 2.0967 13.997584 3.249667 7.733821 0.143619 3.899959 7.436461 7.716867 6.95926 2.81517 2.813529 18.089405 0.997763 6.708241 2.651857 5.359742 7.461117 1.000821 1.174166 2.173374 5.785965 8.460195 3.483611 1.093685 7.353534 6.849462
1991-04-30 11.00381 4.150625 1.69586 13.625307 3.25352 7.85593 0.175289 3.792126 7.204847 8.652245 7.078222 2.860657 2.995888 16.361877 1.05112 6.612034 3.128806 5.166946 7.62024 0.933628 1.209168 2.213998 5.733767 8.566517 3.304043 1.097168 7.24514 7.158793
1991-05-31 11.865202 4.254391 1.452903 14.671265 3.535321 7.500573 0.19002 4.115625 7.259607 9.918917 7.009285 3.144437 3.432245 17.057469 1.189846 6.368482 3.262354 5.412735 8.407016 1.035007 1.011883 2.405533 5.819218 7.86783 3.401785 1.365559 6.828545 7.578599
1991-06-28 11.662777 3.773295 1.282882 13.69817 3.373072 7.145216 0.179708 3.935142 6.977984 9.630271 6.994244 3.012146 3.526681 15.610899 0.992428 5.867788 3.296336 5.084105 8.251402 0.963688 0.92002 2.267636 5.289421 7.70398 3.229425 1.250602 6.846658 7.564045
1991-07-31 10.930934 4.255438 1.429718 13.885304 3.376827 7.322895 0.231264 4.341292 7.56805 10.260043 7.144658 2.981618 3.792855 16.27391 1.003099 6.438755 3.951749 5.064773 9.148487 1.039722 1.111028 2.528108 5.554857 7.6119 3.383636 1.400395 7.02973 8.426612
1991-08-30 10.920409 4.444102 1.642084 14.97656 3.265125 7.369858 0.267353 4.747442 7.4427 10.215078 7.088774 3.047763 4.215592 15.759518 1.056455 6.555019 4.086684 5.059766 9.05963 1.205936 1.270201 2.690569 5.744032 7.888138 3.508775 1.435231 7.3234 8.965068
1991-09-30 11.328942 4.338883 1.533644 15.277597 3.067499 7.549611 0.241575 4.674413 7.144991 9.55348 7.240894 2.844762 4.264497 16.857601 0.901722 6.237414 3.95046 5.428101 9.291699 1.258983 1.378944 2.675165 5.838619 7.596674 3.298062 1.504902 6.680996 8.45594
