,freq,angle,ch_length,velocity,thickness,dec
1,800,0.0,0.3048,71.3,0.002663370,126.201
2,1000,0.0,0.3048,71.3,0.002663370,125.201
3,1250,0.0,0.3048,71.3,0.002663370,125.951
4,1600,0.0,0.3048,71.3,0.002663370,127.591
5,2000,0.0,0.3048,71.3,0.002663370,127.461
6,2500,0.0,0.3048,71.3,0.002663370,125.571
7,3150,0.0,0.3048,71.3,0.002663370,125.201
8,4000,0.0,0.3048,71.3,0.002663370,123.061
9,5000,0.0,0.3048,71.3,0.002663370,121.301
10,6300,0.0,0.3048,71.3,0.002663370,119.541
11,8000,0.0,0.3048,71.3,0.002663370,117.151
12,10000,0.0,0.3048,71.3,0.002663370,115.391
13,12500,0.0,0.3048,71.3,0.002663370,112.241
14,16000,0.0,0.3048,71.3,0.002663370,108.721
15,500,0.0,0.3048,55.5,0.002830810,126.416
16,630,0.0,0.3048,55.5,0.002830810,127.696
17,800,0.0,0.3048,55.5,0.002830810,128.086
18,1000,0.0,0.3048,55.5,0.002830810,126.966
19,1250,0.0,0.3048,55.5,0.002830810,126.086
20,1600,0.0,0.3048,55.5,0.002830810,126.986
21,2000,0.0,0.3048,55.5,0.002830810,126.616
22,2500,0.0,0.3048,55.5,0.002830810,124.106
23,3150,0.0,0.3048,55.5,0.002830810,123.236
24,4000,0.0,0.3048,55.5,0.002830810,121.106
25,5000,0.0,0.3048,55.5,0.002830810,119.606
26,6300,0.0,0.3048,55.5,0.002830810,117.976
27,8000,0.0,0.3048,55.5,0.002830810,116.476
28,10000,0.0,0.3048,55.5,0.002830810,113.076
29,12500,0.0,0.3048,55.5,0.002830810,111.076
30,200,0.0,0.3048,39.6,0.003101380,118.129
31,250,0.0,0.3048,39.6,0.003101380,119.319
32,315,0.0,0.3048,39.6,0.003101380,122.779
33,400,0.0,0.3048,39.6,0.003101380,124.809
34,500,0.0,0.3048,39.6,0.003101380,126.959
35,630,0.0,0.3048,39.6,0.003101380,128.629
36,800,0.0,0.3048,39.6,0.003101380,129.099
37,1000,0.0,0.3048,39.6,0.003101380,127.899
38,1250,0.0,0.3048,39.6,0.003101380,125.499
39,1600,0.0,0.3048,39.6,0.003101380,124.049
40,2000,0.0,0.3048,39.6,0.003101380,123.689
41,2500,0.0,0.3048,39.6,0.003101380,121.399
42,3150,0.0,0.3048,39.6,0.003101380,120.319
43,4000,0.0,0.3048,39.6,0.003101380,119.229
44,5000,0.0,0.3048,39.6,0.003101380,117.789
45,6300,0.0,0.3048,39.6,0.003101380,116.229
46,8000,0.0,0.3048,39.6,0.003101380,114.779
47,10000,0.0,0.3048,39.6,0.003101380,112.139
48,12500,0.0,0.3048,39.6,0.003101380,109.619
49,200,0.0,0.3048,31.7,0.003312660,117.195
50,250,0.0,0.3048,31.7,0.003312660,118.595
51,315,0.0,0.3048,31.7,0.003312660,122.765
52,400,0.0,0.3048,31.7,0.003312660,125.045
53,500,0.0,0.3048,31.7,0.003312660,127.315
54,630,0.0,0.3048,31.7,0.003312660,129.095
55,800,0.0,0.3048,31.7,0.003312660,129.235
56,1000,0.0,0.3048,31.7,0.003312660,127.365
57,1250,0.0,0.3048,31.7,0.003312660,124.355
58,1600,0.0,0.3048,31.7,0.003312660,122.365
59,2000,0.0,0.3048,31.7,0.003312660,122.375
60,2500,0.0,0.3048,31.7,0.003312660,120.755
61,3150,0.0,0.3048,31.7,0.003312660,119.135
62,4000,0.0,0.3048,31.7,0.003312660,118.145
63,5000,0.0,0.3048,31.7,0.003312660,115.645
64,6300,0.0,0.3048,31.7,0.003312660,113.775
65,8000,0.0,0.3048,31.7,0.003312660,110.515
66,10000,0.0,0.3048,31.7,0.003312660,108.265
67,800,1.5,0.3048,71.3,0.003367290,127.122
68,1000,1.5,0.3048,71.3,0.003367290,125.992
69,1250,1.5,0.3048,71.3,0.003367290,125.872
70,1600,1.5,0.3048,71.3,0.003367290,126.632
71,2000,1.5,0.3048,71.3,0.003367290,126.642
72,2500,1.5,0.3048,71.3,0.003367290,124.512
73,3150,1.5,0.3048,71.3,0.003367290,123.392
74,4000,1.5,0.3048,71.3,0.003367290,121.762
75,5000,1.5,0.3048,71.3,0.003367290,119.632
76,6300,1.5,0.3048,71.3,0.003367290,118.122
77,8000,1.5,0.3048,71.3,0.003367290,115.372
78,10000,1.5,0.3048,71.3,0.003367290,113.492
79,12500,1.5,0.3048,71.3,0.003367290,109.222
80,16000,1.5,0.3048,71.3,0.003367290,106.582
81,315,1.5,0.3048,39.6,0.003921070,121.851
82,400,1.5,0.3048,39.6,0.003921070,124.001
83,500,1.5,0.3048,39.6,0.003921070,126.661
84,630,1.5,0.3048,39.6,0.003921070,128.311
85,800,1.5,0.3048,39.6,0.003921070,128.831
86,1000,1.5,0.3048,39.6,0.003921070,127.581
87,1250,1.5,0.3048,39.6,0.003921070,125.211
88,1600,1.5,0.3048,39.6,0.003921070,122.211
89,2000,1.5,0.3048,39.6,0.003921070,122.101
90,2500,1.5,0.3048,39.6,0.003921070,120.981
91,3150,1.5,0.3048,39.6,0.003921070,119.111
92,4000,1.5,0.3048,39.6,0.003921070,117.741
93,5000,1.5,0.3048,39.6,0.003921070,116.241
94,6300,1.5,0.3048,39.6,0.003921070,114.751
95,8000,1.5,0.3048,39.6,0.003921070,112.251
96,10000,1.5,0.3048,39.6,0.003921070,108.991
97,12500,1.5,0.3048,39.6,0.003921070,106.111
98,400,3.0,0.3048,71.3,0.004257270,127.564
99,500,3.0,0.3048,71.3,0.004257270,128.454
100,630,3.0,0.3048,71.3,0.004257270,129.354
101,800,3.0,0.3048,71.3,0.004257270,129.494
102,1000,3.0,0.3048,71.3,0.004257270,129.004
103,1250,3.0,0.3048,71.3,0.004257270,127.634
104,1600,3.0,0.3048,71.3,0.004257270,126.514
105,2000,3.0,0.3048,71.3,0.004257270,125.524
106,2500,3.0,0.3048,71.3,0.004257270,124.024
107,3150,3.0,0.3048,71.3,0.004257270,121.514
108,4000,3.0,0.3048,71.3,0.004257270,120.264
109,5000,3.0,0.3048,71.3,0.004257270,118.134
110,6300,3.0,0.3048,71.3,0.004257270,116.134
111,8000,3.0,0.3048,71.3,0.004257270,114.634
112,10000,3.0,0.3048,71.3,0.004257270,110.224
113,400,3.0,0.3048,55.5,0.004524920,126.159
114,500,3.0,0.3048,55.5,0.004524920,128.179
115,630,3.0,0.3048,55.5,0.004524920,129.569
116,800,3.0,0.3048,55.5,0.004524920,129.949
117,1000,3.0,0.3048,55.5,0.004524920,129.329
118,1250,3.0,0.3048,55.5,0.004524920,127.329
119,1600,3.0,0.3048,55.5,0.004524920,124.439
120,2000,3.0,0.3048,55.5,0.004524920,123.069
121,2500,3.0,0.3048,55.5,0.004524920,122.439
122,3150,3.0,0.3048,55.5,0.004524920,120.189
123,4000,3.0,0.3048,55.5,0.004524920,118.689
124,5000,3.0,0.3048,55.5,0.004524920,117.309
125,6300,3.0,0.3048,55.5,0.004524920,115.679
126,8000,3.0,0.3048,55.5,0.004524920,113.799
127,10000,3.0,0.3048,55.5,0.004524920,112.169
128,315,3.0,0.3048,39.6,0.004957410,123.312
129,400,3.0,0.3048,39.6,0.004957410,125.472
130,500,3.0,0.3048,39.6,0.004957410,127.632
131,630,3.0,0.3048,39.6,0.004957410,129.292
132,800,3.0,0.3048,39.6,0.004957410,129.552
133,1000,3.0,0.3048,39.6,0.004957410,128.312
134,1250,3.0,0.3048,39.6,0.004957410,125.802
135,1600,3.0,0.3048,39.6,0.004957410,122.782
136,2000,3.0,0.3048,39.6,0.004957410,120.532
137,2500,3.0,0.3048,39.6,0.004957410,120.162
138,3150,3.0,0.3048,39.6,0.004957410,118.922
139,4000,3.0,0.3048,39.6,0.004957410,116.792
140,5000,3.0,0.3048,39.6,0.004957410,115.792
141,6300,3.0,0.3048,39.6,0.004957410,114.042
142,8000,3.0,0.3048,39.6,0.004957410,110.652
143,315,3.0,0.3048,31.7,0.005295140,123.118
144,400,3.0,0.3048,31.7,0.005295140,125.398
145,500,3.0,0.3048,31.7,0.005295140,127.548
146,630,3.0,0.3048,31.7,0.005295140,128.698
