avg_capital_seq,spam
1,1.500,0
2,4.941,1
3,3.429,1
4,3.493,1
5,3.380,0
6,3.689,1
7,1.000,0
8,6.761,1
9,2.195,1
10,2.857,0
11,1.883,0
12,1.744,0
13,2.325,0
14,1.250,0
15,1.800,1
16,2.500,0
17,4.617,1
18,2.206,0
19,8.323,1
20,3.764,0
21,1.932,0
22,3.153,0
23,1.983,0
24,3.812,1
25,4.295,0
26,4.500,1
27,1.300,0
28,1.000,0
29,5.009,1
30,5.888,0
31,1.000,0
32,3.456,1
33,3.379,0
34,1.755,0
35,2.333,0
36,2.188,0
37,1.406,0
38,1.857,0
39,3.707,1
40,3.766,0
41,2.930,1
42,2.076,0
43,1.900,0
44,1.684,1
45,2.769,1
46,4.571,0
47,3.029,0
48,3.628,0
49,11.714,1
50,1.285,0
51,4.134,0
52,2.393,0
53,1.183,0
54,2.198,0
55,3.125,1
56,2.405,0
57,1.798,0
58,1.976,0
59,1.592,0
60,5.538,1
61,1.268,0
62,1.228,0
63,2.158,0
64,2.421,0
65,1.000,1
66,1.834,0
67,1.181,0
68,337.250,1
69,5.985,1
70,1.125,0
71,2.288,0
72,1.423,0
73,2.666,0
74,4.964,0
75,1.000,0
76,1.000,0
77,1.801,0
78,2.188,0
79,1.652,0
80,1.240,0
81,2.465,1
82,9.633,1
83,1.382,0
84,2.240,0
85,13.166,1
86,1.844,1
87,2.203,0
88,3.211,0
89,1.687,0
90,1.619,0
91,3.160,0
92,2.888,1
93,3.704,0
94,15.547,1
95,2.022,0
96,5.500,1
97,3.700,0
98,3.333,0
99,1.644,0
100,1.428,0
101,1.000,0
102,3.000,0
103,1.333,0
104,2.420,0
105,2.529,0
106,1.704,0
107,3.836,1
108,2.666,1
109,2.166,1
110,1.225,0
111,2.000,0
112,2.277,0
113,4.437,0
114,2.145,1
115,1.830,0
116,1.755,0
117,4.166,0
118,3.083,0
119,2.950,0
120,2.673,1
121,2.777,0
122,3.217,1
123,1.468,0
124,4.339,1
125,1.000,0
126,1.880,0
127,2.000,0
128,1.300,0
129,2.181,0
130,2.708,0
131,2.366,1
132,1.136,1
133,2.281,0
134,1.567,0
135,1.602,0
136,1.000,1
137,2.843,0
138,3.300,0
139,1.750,0
140,1.885,0
141,1.750,0
142,1.500,0
143,3.333,0
144,2.257,1
145,1.454,0
146,2.540,0
147,3.705,1
148,4.049,1
149,1.293,1
150,5.038,1
151,14.500,1
152,2.086,1
153,1.119,0
154,2.142,0
155,1.000,0
156,1.421,0
157,1.901,1
158,1.535,0
159,1.486,0
160,1.000,1
161,4.548,1
162,7.552,1
163,1.718,0
164,2.687,1
165,89.900,1
166,1.475,0
167,3.642,1
168,1.719,0
169,3.780,1
170,1.554,0
171,1.752,1
172,1.200,0
173,1.894,0
174,2.655,0
175,2.291,0
176,2.211,0
177,1.902,0
178,1.863,0
179,2.240,0
180,1.312,1
181,1.712,0
182,1.400,0
183,2.755,1
184,1.506,0
185,1.000,0
186,1.428,0
187,1.796,1
188,1.947,0
189,4.430,1
190,1.823,1
191,1.000,0
192,2.741,0
193,4.555,1
194,7.484,1
195,1.635,0
196,3.871,1
197,3.629,1
198,1.076,1
199,1.494,1
200,2.375,1
201,3.758,1
202,2.062,1
203,11.685,1
204,1.653,0
205,1.181,0
206,1.370,0
207,1.129,0
208,4.125,1
209,1.541,0
210,1.888,0
211,2.142,0
212,2.933,0
213,1.942,0
214,1.285,0
215,2.063,0
216,1.181,0
217,1.000,0
218,2.571,1
219,1.487,0
220,4.016,0
221,3.918,0
222,1.794,0
223,10.585,1
224,3.237,0
225,2.130,0
226,4.111,1
227,1.945,0
228,25.220,1
229,3.426,1
230,1.694,1
231,7.540,1
232,1.833,0
233,4.696,0
234,4.600,1
235,3.250,0
236,1.379,1
237,3.328,1
238,2.533,0
239,1.525,1
240,25.964,1
241,4.259,1
242,2.646,0
243,2.448,0
244,5.888,0
245,1.700,0
246,2.142,0
247,1.309,0
248,2.815,1
249,2.890,0
250,1.344,0
251,8.033,1
252,1.285,0
253,1.463,1
254,1.666,0
255,1.428,1
256,1.210,0
257,1.840,0
