nose_width,nose_length
1,241,609
2,222,629
3,233,620
4,207,564
5,247,645
6,189,493
7,226,606
8,240,660
9,215,630
10,231,672
11,263,778
12,220,616
13,271,727
14,284,810
15,279,778
16,272,823
17,268,755
18,278,710
19,238,701
20,255,803
21,308,855
22,281,838
23,288,830
24,306,864
25,236,635
26,204,565
27,216,562
28,225,580
29,220,596
30,219,597
31,201,636
32,213,559
33,228,615
34,234,740
35,237,677
36,217,675
37,211,629
38,238,692
39,221,710
40,281,730
41,292,763
42,251,686
43,231,717
44,275,737
45,275,816
